title,seasons
"All For Love",1
"Home Game",1
Twogether,1
"Crazy Delicious",1
"Roswell, New Mexico",2
"It's Okay to Not Be Okay",1
Babies,2
"Floor Is Lava",1
"Most Beautiful Thing",2
"The Politician",2
"The Order",2
"The Chase",2
"Alexa & Katie",4
"How to Get Away with Murder",6
"Dating Around",2
"F is for Family",4
"Frank Elstner: Just One Last Question",1
"ONE PIECE",4
"The Search",1
"The Woods",1
Curon,1
"DC's Legends of Tomorrow",5
"Lenox Hill",1
"My Mister",1
"Reality Z",1
"Queen of the South",4
"13 Reasons Why",4
"Queer Eye",5
Supernatural,15
BAKI,3
Alone,1
"Cardcaptor Sakura",2
"Dear My Friends",1
Megalobox,1
"Midnight Diner",3
"My Shy Boss",1
"Revolutionary Love",1
"Space Force",1
"Can't Cope, Won't Cope",2
Dorohedoro,1
"Mako Mermaids: An H2O Adventure",4
Supergirl,5
Betaal,1
Dynasty,3
"History 101",1
"Trailer Park Boys: The Animated Series",2
"Mystic Pop-up Bar",1
"Especial 20 años Fútbol de Primera",1
"The Queen and the Conqueror",1
"Patton Oswalt: I Love Everything",1
"Sweet Magnolias",1
"The Big Flower Fight",1
"Patriot Act with Hasan Minhaj",6
"Boys Over Flowers",1
Iris,1
"Avatar: The Last Airbender",3
"Inhuman Resources",1
"Madam Secretary",6
"Magic for Humans",3
"Parasyte: The Maxim",1
"She-Ra and the Princesses of Power",5
"Sleepless Society: Two Pillows & A Lost Soul",1
"Strangers from Hell",1
"The Wiggles",2
"White Lines",1
"True: Terrific Tales",1
Bordertown,3
"Trial By Media",1
"Dead to Me",2
"Restaurants on the Edge",2
"The Eddy",1
"The Hollow",2
"Scissor Seven",2
"Almost Happy",1
"Hangar 1: The UFO Files",1
Hoarders,1
"The Universe: Ancient Mysteries Solved",1
"WWII in HD",1
Hollywood,1
"Masha and the Bear",4
"Medici: Masters of Florence",3
"Monthly Girls' Nozaki Kun",1
"Oh Yuck",1
Reckoning,1
"DRIFTING DRAGONS",1
"El señor de los Cielos",7
"Good Witch",5
"The Forest of Love: Deep Cut",1
"The Victims' Game",1
Extracurricular,1
"Nadiya’s Time to Eat",1
Tjovitjo,2
"Coronavirus, Explained",1
"The Last Kingdom",4
"My Secret Romance",1
"دفعة القاهرة",1
"After Life",2
"DreamWorks Spooky Stories: Volume 2",1
"Love 101",1
"Ghost in the Shell: SAC_2045",1
"The House of Flowers",3
"Absurd Planet",1
